DEBUG 2024-12-10 16:28:08,875 utils (0.000) SELECT `notificacoes_notificacao`.`id`, `notificacoes_notificacao`.`destinatario_id`, `notificacoes_notificacao`.`solicitante_id`, `notificacoes_notificacao`.`documento_id`, `notificacoes_notificacao`.`mensagem`, `notificacoes_notificacao`.`lida`, `notificacoes_notificacao`.`data_criacao`, `notificacoes_notificacao`.`link` FROM `notificacoes_notificacao` WHERE `notificacoes_notificacao`.`id` = 1538 LIMIT 21; args=(1538,); alias=default
DEBUG 2024-12-10 16:28:08,878 utils (0.002) SELECT `usuarios_usuario`.`id`, `usuarios_usuario`.`password`, `usuarios_usuario`.`last_login`, `usuarios_usuario`.`is_superuser`, `usuarios_usuario`.`username`, `usuarios_usuario`.`first_name`, `usuarios_usuario`.`last_name`, `usuarios_usuario`.`email`, `usuarios_usuario`.`is_staff`, `usuarios_usuario`.`is_active`, `usuarios_usuario`.`date_joined`, `usuarios_usuario`.`is_ad_user`, `usuarios_usuario`.`ativo`, `usuarios_usuario`.`profile_photo` FROM `usuarios_usuario` WHERE `usuarios_usuario`.`id` = 47 LIMIT 21; args=(47,); alias=default
DEBUG 2024-12-10 16:31:38,479 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-12-10 16:31:38,480 utils (0.001) SELECT `notificacoes_notificacao`.`id`, `notificacoes_notificacao`.`destinatario_id`, `notificacoes_notificacao`.`solicitante_id`, `notificacoes_notificacao`.`documento_id`, `notificacoes_notificacao`.`mensagem`, `notificacoes_notificacao`.`lida`, `notificacoes_notificacao`.`data_criacao`, `notificacoes_notificacao`.`link` FROM `notificacoes_notificacao` WHERE `notificacoes_notificacao`.`id` = 1539 LIMIT 21; args=(1539,); alias=default
DEBUG 2024-12-10 16:31:38,483 utils (0.002) SELECT `usuarios_usuario`.`id`, `usuarios_usuario`.`password`, `usuarios_usuario`.`last_login`, `usuarios_usuario`.`is_superuser`, `usuarios_usuario`.`username`, `usuarios_usuario`.`first_name`, `usuarios_usuario`.`last_name`, `usuarios_usuario`.`email`, `usuarios_usuario`.`is_staff`, `usuarios_usuario`.`is_active`, `usuarios_usuario`.`date_joined`, `usuarios_usuario`.`is_ad_user`, `usuarios_usuario`.`ativo`, `usuarios_usuario`.`profile_photo` FROM `usuarios_usuario` WHERE `usuarios_usuario`.`id` = 42 LIMIT 21; args=(42,); alias=default
DEBUG 2024-12-10 16:31:42,011 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-12-10 16:31:42,012 utils (0.001) SELECT `notificacoes_notificacao`.`id`, `notificacoes_notificacao`.`destinatario_id`, `notificacoes_notificacao`.`solicitante_id`, `notificacoes_notificacao`.`documento_id`, `notificacoes_notificacao`.`mensagem`, `notificacoes_notificacao`.`lida`, `notificacoes_notificacao`.`data_criacao`, `notificacoes_notificacao`.`link` FROM `notificacoes_notificacao` WHERE `notificacoes_notificacao`.`id` = 1539 LIMIT 21; args=(1539,); alias=default
DEBUG 2024-12-10 16:31:42,015 utils (0.002) SELECT `usuarios_usuario`.`id`, `usuarios_usuario`.`password`, `usuarios_usuario`.`last_login`, `usuarios_usuario`.`is_superuser`, `usuarios_usuario`.`username`, `usuarios_usuario`.`first_name`, `usuarios_usuario`.`last_name`, `usuarios_usuario`.`email`, `usuarios_usuario`.`is_staff`, `usuarios_usuario`.`is_active`, `usuarios_usuario`.`date_joined`, `usuarios_usuario`.`is_ad_user`, `usuarios_usuario`.`ativo`, `usuarios_usuario`.`profile_photo` FROM `usuarios_usuario` WHERE `usuarios_usuario`.`id` = 42 LIMIT 21; args=(42,); alias=default
DEBUG 2024-12-10 16:33:23,738 utils (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-12-10 16:33:23,741 utils (0.001) SELECT `notificacoes_notificacao`.`id`, `notificacoes_notificacao`.`destinatario_id`, `notificacoes_notificacao`.`solicitante_id`, `notificacoes_notificacao`.`documento_id`, `notificacoes_notificacao`.`mensagem`, `notificacoes_notificacao`.`lida`, `notificacoes_notificacao`.`data_criacao`, `notificacoes_notificacao`.`link` FROM `notificacoes_notificacao` WHERE `notificacoes_notificacao`.`id` = 1540 LIMIT 21; args=(1540,); alias=default
DEBUG 2024-12-10 16:33:23,862 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-12-10 16:33:23,865 utils (0.001) SELECT `notificacoes_notificacao`.`id`, `notificacoes_notificacao`.`destinatario_id`, `notificacoes_notificacao`.`solicitante_id`, `notificacoes_notificacao`.`documento_id`, `notificacoes_notificacao`.`mensagem`, `notificacoes_notificacao`.`lida`, `notificacoes_notificacao`.`data_criacao`, `notificacoes_notificacao`.`link` FROM `notificacoes_notificacao` WHERE `notificacoes_notificacao`.`id` = 1540 LIMIT 21; args=(1540,); alias=default
DEBUG 2024-12-10 16:33:23,981 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
